L1c, L1a, L1b, L2c, L2a, L2b, L2prf, TLBe, TLBa, TLBp
32, 8, 64, 256, 4, 128, 0, 64, 4, 4096
32, 8, 64, 512, 4, 128, 0, 64, 4, 4096
32, 8, 64, 512, 8, 64, 0, 64, 4, 4096
32, 8, 64, 512, 8, 128, 0, 64, 4, 4096
32, 8, 64, 512, 8, 256, 0, 64, 4, 4096
32, 8, 64, 1024, 8, 64, 0, 64, 4, 4096
32, 8, 64, 1024, 8, 128, 0, 64, 4, 4096
32, 8, 64, 1024, 8, 256, 0, 64, 4, 4096
32, 8, 64, 1024, 16, 128, 0, 64, 4, 4096
32, 8, 64, 2048, 8, 64, 0, 64, 4, 4096
32, 8, 64, 2048, 8, 128, 0, 64, 4, 4096
32, 8, 64, 2048, 8, 256, 0, 64, 4, 4096
32, 8, 64, 2048, 16, 128, 0, 64, 4, 4096
